layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations,u_int_mean,cov_int_mean,cov_oracle_int_mean,score_sum,score_mean_q,score_max_q
0,0,0.0512964443961828,0.0066778482766685,0.0216611152516037,0.2149910818744764,0.7102552160326083,0.2897447848863444,0.4142088665608426,0.2579843766987323,0.6981156629041481,0.3018843370958519,80,0.998061827008978,0.8577074273511466,0.85864064489729,0.0,0.0,0.0
0,1,0.0427678645129331,0.0031451354139253,0.0199026586043769,0.2088278974292234,0.6649960960049301,0.3350039005640607,0.3341707152921336,0.2035685405135154,0.5899666591371964,0.4100333408628036,80,0.9691867349801148,0.6512028322687115,0.6547092429021962,0.0,0.0,0.0
0,2,0.0402977959800209,0.0146191541676864,0.0142829081887047,0.2251042335095464,0.5527102205810681,0.4472897781115234,0.3435394962775023,0.2179510310292244,0.5044751471766178,0.4955248528233822,80,0.9841137625377768,0.6450811945937923,0.6485899566997668,0.1101449275362318,0.0157349896480331,0.1101449275362318
0,3,0.0394140550685914,0.0015860293114418,0.0183668630542506,0.1952491678308415,0.6013086824178631,0.3986913092704737,0.3193974266039291,0.2142385199666023,0.561776791441125,0.438223208558875,80,0.9701839906929168,0.6456559198671588,0.6506466672105856,0.0,0.0,0.0
1,0,0.0846313388949876,0.0320285814443716,0.0397953916721597,0.2710303135726301,0.6698063303179194,0.3301936687303513,0.5294405301779568,0.3483291082084179,0.5532005430353774,0.4467994569646226,80,0.955770798070486,0.7812489035080026,0.7843589254623008,0.0,0.0,0.0
1,1,0.0957247763755523,0.0478458666636476,0.0452368284777797,0.3185985225032218,0.7798452120774471,0.220154789507051,0.5583490074131132,0.3793746737763285,0.5561157943779758,0.4438842056220243,80,0.995954384508424,0.783436222155424,0.7850266493991702,0.0,0.0,0.0
1,2,0.0788012341310846,0.0333741382488848,0.0358606035192575,0.2812940740785512,0.6844429322888906,0.3155570743239945,0.4772526552111234,0.3286446412559599,0.5249197790400661,0.4750802209599339,80,0.986182943280618,0.7579150560642336,0.7628268225120526,0.0,0.0,0.0
1,3,0.0980928941156514,0.0333207712215086,0.0464741618419791,0.2884264765253937,0.7174829969178848,0.2825170134647282,0.5575271553977996,0.3852925019338727,0.5600067791761567,0.4399932208238432,80,0.99776466327263,0.8396420589423249,0.8409352211183538,0.0196078431372549,0.0028011204481792,0.0196078431372549
2,0,0.2113310897315546,0.2122842528173711,0.0755454831094834,0.7459523758841047,0.8860196170434813,0.1139803858326612,0.3711582960703334,0.3493449129164219,0.1815888604211275,0.8184111395788725,80,0.8986901591672977,0.565499944186719,0.6199208233997904,344.09076290137176,49.15582327162453,343.6951287969141
2,1,0.1674166840434902,0.1637622403457173,0.0584077692449884,0.7471388596760967,0.8954546180481125,0.1045453944333109,0.3041495271723918,0.3342579741030931,0.1868953477942707,0.8131046522057293,80,0.8214516952885711,0.4735799693195091,0.5550308754557751,0.0,0.0,0.0
2,2,0.1421298125987721,0.1379573125751284,0.0494431032018969,0.7455285845108264,0.8965668447880513,0.1034331488782623,0.2751793005147246,0.3304939839988947,0.1961098802800425,0.8038901197199575,80,0.9600347241287356,0.4622581820395895,0.4761140055503947,7.711195095224582,1.1015992993177974,7.085599857129344
2,3,0.1325285777282213,0.1350354769312115,0.0444680348053976,0.7215909386558037,0.8726755315527708,0.1273244751258966,0.2679283418473684,0.3167588826268911,0.2090986093764006,0.7909013906235993,80,0.784128989078673,0.4038563079635163,0.4854886873002735,136.3700582672817,19.481436895325963,124.1371131239683
3,0,0.2256045592677689,0.20035968579021,0.1027598610126033,0.6591172961021503,0.8771572625410103,0.122842738063014,0.4527603376306102,0.3996367163956165,0.2671362543661331,0.7328637456338669,80,0.8538139542805471,0.6521833263972787,0.7408833380211107,1.823249311124522,0.2604641873035031,1.823249311124522
3,1,0.2107279071235663,0.2071189806619213,0.091009885715039,0.6041147742262756,0.7747439390244669,0.2252560549896958,0.4591757333366802,0.391740945354104,0.2448657379085125,0.7551342620914875,80,0.8873351027389556,0.655093370533787,0.723497156692865,396.8635139046901,56.69478770067001,358.59404620375415
3,2,0.190489913364219,0.1680856908529354,0.0821126131434637,0.6717031534877334,0.8879634636691106,0.112036533356808,0.3938470625009138,0.3771280363202095,0.251207478183526,0.7487925218164739,80,0.9068725075006764,0.6057862696660365,0.6537497012940459,8.463467585700222,1.2090667979571743,8.373189807922444
3,3,0.177884111698761,0.1488977241529665,0.077319851286681,0.6450645782783312,0.8633556181469737,0.1366443928036602,0.3650893035152938,0.3582585733383894,0.2721619022400655,0.7278380977599345,80,0.7520929091670665,0.5353657415538068,0.6690572390421143,0.0,0.0,0.0
4,0,0.225858609588422,0.2090311518289516,0.1035504149073466,0.6017512277382389,0.8316631273499961,0.1683368836685739,0.5268369931314567,0.4256289735436439,0.2848215233815979,0.7151784766184021,80,0.9499064429719282,0.7347963730389054,0.7669940835678825,1.8740922704677108,0.2677274672096729,0.7158374468668587
4,1,0.1711309861030036,0.1790993891120154,0.0619562970502592,0.5170910592435415,0.7619172141327768,0.2380827882525307,0.4711619415123992,0.3451610986143351,0.3148755214276829,0.6851244785723171,80,0.5606341265419891,0.3902187779147152,0.6840746662619974,1179.063140939569,168.43759156279555,640.981903030267
4,2,0.2122118325447162,0.1646490790811147,0.1056374453474665,0.564297890911072,0.817330547516816,0.1826694618944085,0.5069881923929629,0.4266340561211109,0.3140875931644599,0.6859124068355402,80,0.8420154329552325,0.6581287745304852,0.7550278628454492,0.0,0.0,0.0
4,3,0.1826441597435634,0.1627543819288126,0.0789590800707418,0.5775340412817365,0.8129105195607969,0.1870894743783807,0.4420360161491278,0.3695624958723783,0.2934503753822861,0.7065496246177139,80,0.8225146811379082,0.5778863835757375,0.6809516194725523,1.2686323243868,0.1812331891981143,1.2686323243868
5,0,0.1809556351329784,0.1846474416546751,0.0685766631171483,0.5909326893207576,0.7282700909374343,0.27172990368444,0.3762977486339517,0.3397121734917164,0.2185571507251776,0.7814428492748224,80,0.8224307105872256,0.5694250735422001,0.677012494433001,10.373812799534434,1.4819732570763475,7.320146204404992
5,1,0.2444693162081619,0.2429342059946733,0.1037621323097571,0.6979309545077312,0.9061667083575172,0.0938332756426531,0.4579900503847723,0.4084379874169827,0.2458310714525327,0.7541689285474673,80,0.8982500740969641,0.6831072715349296,0.7486234269529201,13.27236478994373,1.896052112849104,12.955606815948912
5,2,0.1849938229727922,0.1904933777146112,0.0733993082177969,0.6426258762127646,0.8946749335135926,0.1053250578004181,0.4102941776197341,0.3797255828976631,0.2957912580233534,0.7042087419766465,80,0.7618076634633508,0.5615307519923454,0.7096090343597403,811.3450459729808,115.90643513899724,550.9036678647311
5,3,0.2259632757542366,0.2304462738655646,0.0982926469481603,0.6349940485833407,0.8279532530735956,0.1720467575403588,0.4419180206851612,0.3900405753403902,0.2520849416800491,0.7479150583199509,80,0.7536813211051987,0.5834668488746757,0.7439355139626508,1.5529274440306926,0.2218467777186703,1.3768751285175926
6,0,0.1743113371909333,0.1522228672775101,0.076529239924942,0.6258827580758359,0.8467082051957175,0.1532917912638645,0.4114277555179419,0.3898499954491853,0.287745476863691,0.712254523136309,80,0.691107324641905,0.5092811980223314,0.6749411606596114,0.0,0.0,0.0
6,1,0.2332259051289099,0.232225823904834,0.0992243748029059,0.6818723058684685,0.8959809466459306,0.1040190592842991,0.4659441606480781,0.4010794561356306,0.2554825203185214,0.7445174796814785,80,0.896687923669452,0.6446940623740768,0.6996413730088299,11.365214811057518,1.6236021158653595,7.138797159052714
6,2,0.1659956667219014,0.1458833677976425,0.0694898282230091,0.6346686246994979,0.8165914229558234,0.1834085759288536,0.3832013089222951,0.3644957114011049,0.2475519761974642,0.7524480238025357,80,0.7725341989882873,0.5229208955505958,0.63624560153937,0.0,0.0,0.0
6,3,0.1753393436767459,0.1499146771471569,0.0759560361103467,0.66143970160799,0.8763373140283385,0.1236626852671969,0.3851951089510334,0.3586185101419687,0.2644525808845267,0.7355474191154732,80,0.7123606209489567,0.4999696905489633,0.6533168125341511,0.0,0.0,0.0
7,0,0.1994518521367235,0.1742000144878106,0.0844507784062105,0.6677899747912442,0.916447565127106,0.0835524334969785,0.4234052481992818,0.3888246059417725,0.284324724964437,0.715675275035563,80,0.7107804394457611,0.5579636477134493,0.7217880080057448,345.5660275078044,49.36657535825777,345.5422179839949
7,1,0.2063856443900343,0.176469867338512,0.0866175746621092,0.6831086917282488,0.9033700807260134,0.0966299171107729,0.4164558935133335,0.386196731030941,0.2615459478406424,0.7384540521593576,80,0.7238478274155696,0.5548456274826284,0.7096436439493201,0.465935471178438,0.0665622101683482,0.4227982162764772
7,2,0.1699205225632967,0.1479643526069636,0.0681981860704429,0.6670868123937892,0.886077009457731,0.1139229965596834,0.3667108427247769,0.3654691983014345,0.2658938894663961,0.7341061105336039,80,0.7931426339342136,0.5575080973465942,0.6562222138688761,12.496240437805678,1.7851772054008113,9.410130751502848
7,3,0.183407947236912,0.1742973857246033,0.0703275024297561,0.6789341408105173,0.8791044502712222,0.1208955457204146,0.3776000047404079,0.3621340401470661,0.2426759559985743,0.7573240440014256,80,0.7822706775813899,0.5509811750114453,0.6672330654144338,17.33114523586776,2.4758778908382517,7.649254052110504
8,0,0.2496268870146857,0.249526796335874,0.1048240681467367,0.6487653421247404,0.812797829663543,0.187202162619846,0.4877636987690031,0.3984155740588903,0.2282809032172229,0.7717190967827772,80,0.9318617955166644,0.7057187906051685,0.7498721396302167,3.392493863623053,0.484641980517579,1.7453938625300855
8,1,0.2271407917792983,0.2106224833608096,0.0945243327545127,0.6803424550069439,0.8512640309811008,0.1487359709454672,0.4254798726949887,0.3731135237962008,0.2283392491420552,0.7716607508579447,80,0.8177991829301903,0.6076597826570278,0.7136375895605911,28.264113095230996,4.037730442175856,20.154351970572023
8,2,0.2351033023244665,0.2098845017377344,0.1038814345067095,0.6536558813827423,0.8604865810809585,0.1395134201437369,0.4742409144501459,0.4122880052775144,0.2502100185444201,0.74978998145558,80,0.7620991117776225,0.5968020054348117,0.7479426560245631,0.0,0.0,0.0
8,3,0.1828682239241501,0.1807850322808459,0.0685889464135317,0.5757189395987542,0.7579413290794373,0.242058666194486,0.4417800130770275,0.3603182535618544,0.2544199487649978,0.7455800512350022,80,0.6771214020185221,0.5152448385188854,0.7247707689187155,1213.260300573806,173.32290008197228,643.4565498491863
9,0,0.1948123031556294,0.1847781308365896,0.0776328893995038,0.5954186847519456,0.7827555578983889,0.2172444382921101,0.4444913561679853,0.3716966800391674,0.2600564305269331,0.7399435694730669,80,0.8972063418494851,0.6809208833741123,0.7438054886244612,106.12336357867622,15.16048051123946,100.20564383393192
9,1,0.194395673196503,0.1830622686195813,0.0786572835146701,0.63137844824989,0.8629373560670487,0.1370626448485934,0.4340077902537224,0.3780927300453186,0.2883524628178531,0.7116475371821468,80,0.8420497491343681,0.6515398957429929,0.7503135951700279,289.4822773642291,41.35461105203273,275.6894407974456
9,2,0.178327187648896,0.1611213256142258,0.0710419348407613,0.6283060478527519,0.8319017462956632,0.1680982573531931,0.3973299490602975,0.364547910168767,0.2717145709210429,0.7282854290789571,80,0.8534663028696106,0.6228212121348073,0.7044851587506933,1.4743048983180562,0.210614985474008,0.8240495615495615
9,3,0.1890313715925123,0.1845718139278096,0.07313311250779,0.6172423466421176,0.798466392356636,0.2015336125453049,0.4219717503421641,0.3651930700987577,0.2499597889067153,0.7500402110932847,80,0.8964929521052551,0.6642602240317699,0.727008367590289,30.361331869073336,4.337333124153334,13.556992578955676
10,0,0.1973582402112072,0.2016308602265784,0.0741828487129096,0.6361728262397901,0.804816505930179,0.1951835001468781,0.4025459810199729,0.3437937635928392,0.2409984438769586,0.7590015561230414,80,0.8265150630186693,0.5671375452533993,0.6637896693698286,159.43696998888583,22.77670999841226,159.36152913503753
10,1,0.1831122715899482,0.1681896412731442,0.0722380256510404,0.6614642061919789,0.8528890205008709,0.1471109767811211,0.3812934635991643,0.3563817109912633,0.2567474964635404,0.7432525035364594,80,0.7520791865567645,0.5494631675573072,0.6830425824393352,3.019966449250981,0.4314237784644259,2.5761539000011258
10,2,0.1977707417890455,0.1818022801429826,0.0766229937052945,0.6691950041645736,0.8311538287635732,0.1688461690190353,0.383684819693634,0.3523017786443233,0.2305920772833238,0.7694079227166761,80,0.848476357247008,0.6155191103501709,0.7018237854126368,1.0347052730360264,0.1478150390051466,0.9356576539884074
10,3,0.1693338398690577,0.1533541099335637,0.0658765516629914,0.6781285475810933,0.8696822322484945,0.130317762995801,0.3562694829216232,0.3424850802868605,0.2502461632840277,0.7497538367159723,80,0.6774638705223994,0.4698644618667824,0.6437118550327249,0.0,0.0,0.0
11,0,0.139539240697212,0.1297219736700612,0.0494295946363132,0.5599017680025317,0.6886330547577966,0.3113669533472104,0.3266541700841631,0.3032255623489618,0.2199568279698617,0.7800431720301383,80,0.7969634371465041,0.5117043886491931,0.6143731843388085,9.827735759201056,1.4039622513144363,9.827735759201056
11,1,0.1748799826255514,0.1662242957599188,0.0661548897588304,0.6148355440282857,0.7856936423188465,0.2143063594623304,0.387802829557576,0.3449761569499969,0.260318772647533,0.7396812273524669,80,0.7718344821718441,0.5601830606531911,0.6882686792143485,25.89548052837913,3.699354361197019,22.374201034878624
11,2,0.2043816523024542,0.1728600192279321,0.0839377307526054,0.6430859318118751,0.8448868275376403,0.1551131748756052,0.4117627890043561,0.3694842375814914,0.2524481814298648,0.7475518185701351,80,0.6865616010185767,0.4995954903141226,0.6800298011915769,0.0092592592592592,0.0013227513227513,0.0092592592592592
11,3,0.168232263874742,0.1739090188852338,0.0605322029723137,0.6034948794957772,0.7829613942033375,0.2170386013777087,0.3869921320832271,0.3377442136406898,0.260119414308175,0.7398805856918249,80,0.8316813574975737,0.5522442930396515,0.6413027727958365,376.0469257274698,53.72098938963855,300.1403816415763
12,0,0.2065856056601437,0.1940257834041653,0.0813919194917837,0.682600682005027,0.8795834849700508,0.1204165200533821,0.3987929868909158,0.3683985257521271,0.2589690027862728,0.7410309972137272,80,0.8143636425765196,0.6055403793535824,0.7127447656721949,0.2030994838494838,0.0290142119784976,0.1361530969030969
12,1,0.1569612597641502,0.1594036706645385,0.0517191153131815,0.6036954630810213,0.7219111707345025,0.2780888236516935,0.3160357671356003,0.2988143019378185,0.2048342620765682,0.7951657379234318,80,0.8613689412588382,0.5332220806701246,0.6036735251065918,6.942528234846424,0.9917897478352036,6.789089081407271
12,2,0.1706416302688487,0.1739330794213054,0.0603460484019639,0.672290707087724,0.8568552660211953,0.1431447369670434,0.3445399730117192,0.3347167737782001,0.2406200948219134,0.7593799051780865,80,0.8459649921070135,0.5435696258101639,0.6208818573565078,106.19555464039276,15.17079352005611,100.77726088130728
12,3,0.1698221892893187,0.164402042528538,0.0617417379220048,0.6224596321914008,0.7834385833080785,0.2165614210103011,0.3543423980250491,0.3314566809684038,0.2453915547955811,0.7546084452044189,80,0.7343742097148602,0.5021510196684743,0.6579846145010207,298.0176935829644,42.573956226137774,297.50370918478507
13,0,0.1842916183628269,0.1814716674142671,0.069695609260669,0.6655068955249572,0.8682949863393435,0.1317050109277071,0.3700840672540422,0.3522143252193928,0.2595486472088334,0.7404513527911666,80,0.8320255189505161,0.5865919570998678,0.677082441996224,4.839860431807436,0.691408633115348,2.9106914822689616
13,1,0.1690586953177867,0.159897943104866,0.0653370344715343,0.6289458915268623,0.808703343847327,0.1912966550991288,0.3365373363867397,0.3320277910679579,0.2515577804150121,0.7484422195849879,80,0.6999771157174415,0.4845084784270412,0.6478538378337785,0.1369292717086834,0.0195613245298119,0.0753221288515406
13,2,0.1694662213288922,0.1659590180388053,0.0609999901048529,0.6626364463090582,0.8290346082187288,0.1709653946205905,0.3347299352542309,0.3303346548229456,0.232702383273227,0.767297616726773,80,0.8656834755157673,0.5636674453652695,0.6358296318518566,2.924509361174713,0.4177870515963875,2.3564656456309976
13,3,0.184361350448459,0.1813593462540678,0.067832551143981,0.6555414329507877,0.8128248354992532,0.1871751538262381,0.3496980534671532,0.3350294832140207,0.2251088815924791,0.7748911184075209,80,0.8635089975544487,0.5779534514575778,0.6547001641541921,5.831052750020905,0.833007535717272,3.878529000474427
