bin,x,local_density,global_density
0,0.0025,0.000565593430033747,0.00046729095438004893
1,0.0075,0.0001977963634371291,0.0001693521221003708
2,0.0125,6.909308768433791e-05,6.020022967125939e-05
3,0.017499999999999998,5.406055331659979e-05,4.8327758047788874e-05
4,0.0225,3.97352714229532e-05,3.5655613286524256e-05
5,0.0275,2.9055472757428496e-05,2.486957708895818e-05
6,0.0325,2.1049647418818976e-05,1.7695013046880016e-05
7,0.037500000000000006,2.4042106876372462e-05,2.0133890412158246e-05
8,0.0425,1.9822146587390024e-05,1.7915492639739526e-05
9,0.0475,2.8949959207603703e-05,2.3900554489254565e-05
10,0.052500000000000005,3.3721610795815447e-05,2.8215952752350172e-05
11,0.0575,3.263813189748706e-05,2.8279476671608748e-05
12,0.0625,2.4150039566459512e-05,2.1671913091241824e-05
13,0.0675,2.51419905613456e-05,2.2897918786755476e-05
14,0.07250000000000001,1.7088296995802805e-05,1.580754929086936e-05
15,0.0775,2.1057428754014214e-05,1.883152213689301e-05
16,0.0825,3.144261879872032e-05,2.7578056117063134e-05
17,0.08750000000000001,1.6225775110233465e-05,1.4411922881509196e-05
18,0.0925,1.773445728715313e-05,1.50955988299438e-05
19,0.0975,2.3106292312862753e-05,1.986994913182531e-05
20,0.10250000000000001,1.176371736210986e-05,1.0126666267698933e-05
21,0.1075,1.0695665284418733e-05,9.307382521692675e-06
22,0.1125,1.2133251696634396e-05,1.0566999361006482e-05
23,0.11750000000000001,3.091946377393196e-05,2.671345021476137e-05
24,0.1225,9.183142055940616e-06,7.957503539113512e-06
25,0.1275,6.806751371163491e-06,5.896567802993531e-06
26,0.1325,8.05988848342759e-06,7.418295583766612e-06
27,0.1375,9.551197733340973e-06,8.48289382331708e-06
28,0.14250000000000002,6.82727597899086e-06,6.35202214894113e-06
29,0.1475,1.1517821677126003e-05,1.0199195917649302e-05
30,0.1525,1.1305959398584389e-05,9.713625622565853e-06
31,0.1575,1.8896279386179265e-05,1.6705535661229738e-05
32,0.1625,2.2160931443620738e-05,1.8922386481476657e-05
33,0.1675,1.6085285502657946e-05,1.4238635894717585e-05
34,0.17250000000000001,1.0025043806033304e-05,8.775362932674258e-06
35,0.17750000000000002,1.2903745511778777e-05,1.1325332747115247e-05
36,0.1825,1.0534892532246208e-05,9.022623180796335e-06
37,0.1875,6.467769384157088e-06,5.7487759654136704e-06
38,0.1925,6.229293931003572e-06,5.510880833502463e-06
39,0.1975,3.615050740339491e-05,2.2718541062652535e-05
40,0.2025,0.00012040314630837947,0.00010183568536547663
41,0.20750000000000002,7.284045583661254e-06,6.146940340933762e-06
42,0.2125,7.483841156037985e-06,6.899650656960403e-06
43,0.2175,0.0007203429813013052,0.0005821388014228189
44,0.2225,1.3521101321281763e-05,1.0347564513063398e-05
45,0.2275,1.0751817542046985e-05,9.222477669020324e-06
46,0.2325,6.76806790261717e-06,5.5314853745599345e-06
47,0.23750000000000002,5.655765626064916e-06,4.804999907075482e-06
48,0.2425,4.909345136783885e-06,4.161344286916694e-06
49,0.2475,5.9432995245789266e-06,5.04305263250769e-06
50,0.2525,4.864674946878548e-06,4.007239354636767e-06
51,0.2575,6.436462041334584e-06,5.370219839756383e-06
52,0.2625,4.6621085238145995e-06,3.7921481360772954e-06
53,0.2675,0.0001717257097061636,0.00013629405317583615
54,0.2725,0.00014549825837139924,0.0001252169592550048
55,0.2775,5.078050769068851e-06,4.235747167000431e-06
56,0.28250000000000003,5.781811969821932e-06,4.92031329377877e-06
57,0.28750000000000003,5.474592850235667e-06,4.579861300215976e-06
58,0.2925,4.148753514736738e-06,3.328927021314308e-06
59,0.2975,6.282654221847076e-06,5.2590035660874235e-06
60,0.3025,4.842233627363853e-06,3.968146090935719e-06
61,0.3075,7.920161023929147e-06,6.885877341193584e-06
62,0.3125,5.328132602079565e-06,4.359205917561045e-06
63,0.3175,1.3819463417490272e-05,1.1329607005305262e-05
64,0.3225,6.578332076401239e-06,4.887874070806567e-06
65,0.3275,5.5727962165452504e-06,4.686256268081363e-06
66,0.3325,3.182726123359386e-06,2.6321106113898065e-06
67,0.3375,4.168106476890202e-06,3.6247112768879858e-06
68,0.3425,2.374487688630974e-06,1.9621541884255433e-06
69,0.34750000000000003,4.2109544498966244e-06,3.830407268356812e-06
70,0.35250000000000004,2.0316055296478097e-06,1.6218245662728071e-06
71,0.3575,3.5429674667272817e-06,2.9492068966555265e-06
72,0.3625,2.505497929907775e-06,1.963446185175492e-06
73,0.3675,3.1261786201352434e-06,2.533774462406478e-06
74,0.3725,3.466581947647256e-06,2.6934772056630645e-06
75,0.3775,2.8899428713492743e-06,2.3676759116925466e-06
76,0.3825,4.495978568199314e-06,3.823496783329064e-06
77,0.3875,3.874635440030608e-06,3.313651279463719e-06
78,0.3925,5.574271912736345e-06,4.744026325300053e-06
79,0.3975,4.204598802387209e-06,3.5420566131487788e-06
80,0.4025,6.62520484666504e-06,5.71563252890138e-06
81,0.40750000000000003,5.452575898780939e-06,4.622904482948333e-06
82,0.41250000000000003,1.1528133574457495e-05,9.816045429623009e-06
83,0.41750000000000004,8.454039383173735e-06,6.689776635850501e-06
84,0.4225,6.096543367445928e-06,5.223339494663452e-06
85,0.4275,3.869394214273352e-06,3.286957021303778e-06
86,0.4325,5.129405600712289e-06,4.584650683799579e-06
87,0.4375,3.1187083202010454e-06,2.7665521605484276e-06
88,0.4425,3.3534158540809197e-06,2.8460458711738654e-06
89,0.4475,2.5277728161335502e-06,2.1017108620895317e-06
90,0.4525,3.097396542969187e-06,2.6799100364699796e-06
91,0.4575,2.4610608211849104e-06,1.99280123693449e-06
92,0.4625,3.088996008497064e-06,2.5921206427562296e-06
93,0.4675,2.5401010028227405e-06,2.0649697170697158e-06
94,0.47250000000000003,3.675604055496135e-06,3.117125977490671e-06
95,0.47750000000000004,2.7848164657368622e-06,2.3279084250827036e-06
96,0.4825,3.944996848594089e-06,3.4034456466345692e-06
97,0.4875,2.7693538214199803e-06,2.3221069246325933e-06
98,0.4925,4.785249816496635e-06,4.13759912282321e-06
99,0.4975,3.6745188421257214e-06,3.021707350114866e-06
100,0.5025,7.369850833333193e-06,6.4859765755579004e-06
101,0.5075,4.907328920583087e-06,4.086856843981905e-06
102,0.5125,1.4152454458344808e-05,1.1899953849525465e-05
103,0.5175,6.74895554981021e-06,5.260768677790482e-06
104,0.5225,5.461350902035575e-06,4.655579366191877e-06
105,0.5275,3.528030810588582e-06,2.9563436390090755e-06
106,0.5325,4.825854409309428e-06,4.212052951721276e-06
107,0.5375,3.035817883881241e-06,2.5496142715805296e-06
108,0.5425,3.4605949648737677e-06,2.940390087313953e-06
109,0.5475,2.3096627980326697e-06,1.9750168745073255e-06
110,0.5525,2.9541810481045365e-06,2.5674100116095026e-06
111,0.5575,2.9983382333688386e-06,2.524396367153732e-06
112,0.5625,3.0578223396444125e-06,2.560158864552556e-06
113,0.5675,3.1622753014798898e-06,2.5898712995864553e-06
114,0.5725,3.983863043065505e-06,3.3559289596322445e-06
115,0.5775,4.035967089603149e-06,3.4534465765072667e-06
116,0.5824999999999999,3.3633723292354613e-06,2.765522695418505e-06
117,0.5874999999999999,3.182624756245137e-06,2.7224811636104424e-06
118,0.5924999999999999,4.153666576113971e-06,3.46122119939379e-06
119,0.5974999999999999,4.14391146239036e-06,3.423942089707963e-06
120,0.6024999999999999,6.0651138349092955e-06,5.187455781719091e-06
121,0.6074999999999999,1.2136761551680453e-05,1.036556302023785e-05
122,0.6124999999999999,1.2405586816459283e-05,1.019843766269388e-05
123,0.6174999999999999,7.486809500229745e-06,6.44684333490993e-06
124,0.6224999999999999,6.454313454272017e-06,5.43701101816753e-06
125,0.6275,4.617338003571121e-06,3.9502723636211825e-06
126,0.6325,5.392152125838892e-06,4.913283208095111e-06
127,0.6375,6.564047895995846e-06,5.876274586308237e-06
128,0.6425,4.488574390538305e-06,3.894671308142613e-06
129,0.6475,4.283841389953792e-06,3.6393905579167986e-06
130,0.6525,4.021921523441766e-06,3.5029401375391455e-06
131,0.6575,4.019472492749239e-06,3.3999884478805367e-06
132,0.6625,3.913630246652432e-06,3.3319715498256924e-06
133,0.6675,4.1420072934136684e-06,3.5221480360127206e-06
134,0.6725,4.0909946858333775e-06,3.5997523281661397e-06
135,0.6775,4.431399587161297e-06,3.762205730189245e-06
136,0.6825,3.3123816680001383e-06,2.759347068623978e-06
137,0.6875,4.607796427080757e-06,3.9745138439907255e-06
138,0.6925,3.685044879781734e-06,3.1072098711691216e-06
139,0.6975,5.772220391134174e-06,5.016986077588608e-06
140,0.7025,8.180587623108258e-06,7.165949311018137e-06
141,0.7074999999999999,2.0861213042109035e-05,1.781484721279913e-05
142,0.7124999999999999,8.60838273045569e-06,6.8871302733914865e-06
143,0.7174999999999999,7.504133580685643e-06,6.466393990208695e-06
144,0.7224999999999999,4.379480323859984e-06,3.657620604287229e-06
145,0.7274999999999999,4.590908580929775e-06,4.0658221154832085e-06
146,0.7324999999999999,3.5540785830354876e-06,3.072539197870815e-06
147,0.7374999999999999,4.6633078011904195e-06,3.936864620424312e-06
148,0.7424999999999999,3.368249827151222e-06,2.819736848984033e-06
149,0.7474999999999999,5.665266284719267e-06,5.091954527648684e-06
150,0.7525,4.538223311666853e-06,3.9422741185798515e-06
151,0.7575,6.8225368684809426e-06,6.1070732904656265e-06
152,0.7625,4.546927947046697e-06,3.927343422662131e-06
153,0.7675,6.50150881586815e-06,5.627538532984758e-06
154,0.7725,5.322057583496143e-06,4.418017041259924e-06
155,0.7775,5.192890481375381e-06,4.446151568602693e-06
156,0.7825,5.213568448686592e-06,4.515876625822673e-06
157,0.7875,6.1477662457205e-06,5.492981541947858e-06
158,0.7925,4.515903930529921e-06,3.870740011434139e-06
159,0.7975,6.760624784749093e-06,6.034152046565248e-06
160,0.8025,1.878519493319619e-05,1.6187808313796555e-05
161,0.8075,1.9017101424956725e-05,1.565632175668247e-05
162,0.8125,9.56221525558244e-06,8.030173774511927e-06
163,0.8175,8.545657513362743e-06,7.074683439495811e-06
164,0.8225,6.791385219057656e-06,5.913848370827351e-06
165,0.8275,5.393717425674219e-06,4.699459746410175e-06
166,0.8325,6.478050016738154e-06,5.505853899748848e-06
167,0.8374999999999999,4.131139474986171e-06,3.335854033783604e-06
168,0.8424999999999999,5.292320078484404e-06,4.36113548960061e-06
169,0.8474999999999999,5.012116768097842e-06,4.209335048684858e-06
170,0.8524999999999999,6.441430617415762e-06,5.6570901872059574e-06
171,0.8574999999999999,4.9913517646668226e-06,4.141196536890527e-06
172,0.8624999999999999,6.486301454837841e-06,5.341138028076473e-06
173,0.8674999999999999,6.346262955329324e-06,5.239436153508288e-06
174,0.8724999999999999,7.8101875338777e-06,6.523631375869729e-06
175,0.8775,8.511179248439383e-06,7.33531424002916e-06
176,0.8825,1.0980216556324463e-05,9.565269260341275e-06
177,0.8875,5.231107252692087e-06,4.3375757264081064e-06
178,0.8925,9.621160381985943e-06,8.286357409216941e-06
179,0.8975,7.686998112220938e-06,6.4112548949598315e-06
180,0.9025,3.7916827518871536e-05,3.148842128147018e-05
181,0.9075,1.3711044448340851e-05,1.0335152096825703e-05
182,0.9125,1.6909109260531788e-05,1.4136721977086019e-05
183,0.9175,7.798265880589557e-06,6.166154524447852e-06
184,0.9225,1.1481786727625484e-05,9.790343043371937e-06
185,0.9275,6.068248113233703e-06,4.745960960246628e-06
186,0.9325,9.784558551067285e-06,8.3694131363382e-06
187,0.9375,5.8518499417247386e-06,4.572279676034905e-06
188,0.9425,1.0870394391139487e-05,9.214710212102299e-06
189,0.9475,5.683729239748044e-06,4.408666037624109e-06
190,0.9525,8.672016119915877e-06,7.095963035739635e-06
191,0.9575,6.419173506359078e-06,4.824952542138915e-06
192,0.9624999999999999,9.316120853256683e-06,7.3836262114865554e-06
193,0.9674999999999999,9.248050118973847e-06,7.445308911287055e-06
194,0.9724999999999999,1.0176647740228864e-05,8.047001349672896e-06
195,0.9774999999999999,8.823687929757584e-06,7.002245480517716e-06
196,0.9824999999999999,1.255355851343183e-05,1.011580959819449e-05
197,0.9874999999999999,9.632117110480957e-06,7.520701638015351e-06
198,0.9924999999999999,1.5416236942829824e-05,1.2715919316220532e-05
199,0.9975,1.8919248385217616e-05,1.545239053237598e-05
